user_id,created_at,revoked
5059df28-ac89-413d-9d7a-8c8b11579659,2026-01-14 20:36:54.558665+00,false
5059df28-ac89-413d-9d7a-8c8b11579659,2026-01-14 12:06:49.535068+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:33.477483+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:32.334828+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:32.210138+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:31.760653+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:31.647483+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:31.477982+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:31.141103+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:31.012662+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:30.911261+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:30.83043+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:30.343558+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:30.111593+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:29.940167+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:28.711853+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:23.170584+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:57:22.76582+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:43.91481+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:43.139653+00,false
aa644b2d-b047-4929-8a66-2d9328a7d140,2026-01-14 09:56:37.985452+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:35.600823+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:35.38994+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:35.154011+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:34.934272+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:34.753779+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:34.585741+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:34.399213+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:34.183585+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:33.968887+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:33.775635+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:33.578122+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:33.358302+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:33.170966+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:29.842906+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:29.622917+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:29.493259+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:29.317222+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:27.769113+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:27.537394+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:27.363279+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:27.161064+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:26.951157+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:26.738603+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:26.537468+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:25.997204+00,false
339f8c2b-8023-43c0-9f29-3b08b5c85885,2026-01-14 09:56:23.769037+00,false
eac07255-cb9a-4f06-832a-ace67adcfbac,2026-01-14 09:47:31.981055+00,false
cdca8bf6-3a03-4487-a404-5e3032ae040d,2026-01-14 09:42:59.949283+00,false
7c4fac45-d08f-4555-9817-8623ec0488ab,2026-01-14 09:22:03.840361+00,false